Relatório Saldo Estoque (Inventário) -  Razão Social: A. E. DE SOUZA - CNPJ: 09.273.149/0001-19 - Estoque Existente no dia 07/04/2026 - Livro: 1;;;;;;;;;
Código;Descrição;Unidade;Estoque;Compra Unt.;Saldo Compra;Venda Unt.;Venda Atacado;Saldo Venda;Saldo Atacado
1696;BOTA MOLECA 000170;UN; 9,000; 80,00; 720,00; 170,00; 112,00; 1.530,00; 1.008,00
1695;BOTA MOLECA 000190;UN; 44,000; 89,77; 3.949,88; 190,00; 150,00; 8.360,00; 6.600,00
1586;BOTA SAYGON INFANTIL 00150;UN; 20,000; 65,00; 1.300,00; 150,00; 85,00; 3.000,00; 1.700,00
1587;BOTINAS PERDIGÃO ;UN; 21,000; 116,48; 2.446,08; 250,00; 175,00; 5.250,00; 3.675,00
1588;BOTINAS PERDIGÃO 000287;UN; 24,000; 134,40; 3.225,60; 287,00; 188,00; 6.888,00; 4.512,00
1589;BOTINAS PERDIGÃO P/TRABALHO;UN; 3,000; 70,00; 210,00; 120,00; 92,00; 360,00; 276,00
1601;BOTINHO 000100;UN; 5,000; 53,00; 265,00; 100,00; 75,00; 500,00; 375,00
1598;BOTINHO 00110;UN; 4,000; 58,00; 232,00; 110,00; 82,00; 440,00; 328,00
1599;BOTINHO 0016700;UN; 8,000; 88,00; 704,00; 167,00; 125,00; 1.336,00; 1.000,00
1600;BOTINHO 00175;UN; 3,000; 86,00; 258,00; 175,00; 125,00; 525,00; 375,00
1590;BRILHO INFANTIL ;UN; 76,000; 5,60; 425,60; 10,00; 10,00; 760,00; 760,00
1562;CARTAGO MINI;UN; 27,000; 35,81; 966,87; 70,00; 49,00; 1.890,00; 1.323,00
1705;CEBO DE CARNEIRO CREME HIDRATANTE;UN; 24,000; 7,41; 177,84; 15,00; 11,00; 360,00; 264,00
1659;CHUTEIRA DIVERSAS 00085;UN; 36,000; 45,00; 1.620,00; 85,00; 65,00; 3.060,00; 2.340,00
1662;CHUTEIRA EURO 000115;UN; 6,000; 46,90; 281,40; 115,00; 75,00; 690,00; 450,00
1661;CHUTEIRA EURO 000130;UN; 32,000; 66,80; 2.137,60; 130,00; 100,00; 4.160,00; 3.200,00
1663;CHUTEIRA EURO 000135;UN; 5,000; 61,30; 306,50; 135,00; 90,00; 675,00; 450,00
1660;CHUTEIRA EURO 000150;UN; 44,000; 82,20; 3.616,80; 150,00; 115,00; 6.600,00; 5.060,00
1563;CILIOS ;UN; 2,000; 10,00; 20,00; 15,00; 15,00; 30,00; 30,00
1560;CINTO 20;UN; 89,000; 13,00; 1.157,00; 20,00; 20,00; 1.780,00; 1.780,00
1564;COLA P/CILIOS ;UN; 3,000; 15,00; 45,00; 20,00; 20,00; 60,00; 60,00
1593;CORTADOR DE UNHA ;UN; 16,000; 2,50; 40,00; 5,00; 5,00; 80,00; 80,00
1616;CROCES 00075;UN; 25,000; 40,00; 1.000,00; 75,00; 55,00; 1.875,00; 1.375,00
1615;CUECA BOXER ;UN; 193,000; 15,00; 2.895,00; 25,00; 20,00; 4.825,00; 3.860,00
1543;DANPER ;UN; 57,000; 14,84; 845,88; 30,00; 21,00; 1.710,00; 1.197,00
1550;DANPER INFANTIL ;UN; 35,000; 10,32; 361,20; 25,00; 15,00; 875,00; 525,00
1552;DANPER PAPETE 00045;UN; 50,000; 19,34; 967,00; 45,00; 27,00; 2.250,00; 1.350,00
1701;DANPER PAPETE 00055;UN; 30,000; 29,67; 890,10; 55,00; 40,00; 1.650,00; 1.200,00
1551;ESCOVA DE CABELO ;UN; 20,000; 3,00; 60,00; 5,00; 5,00; 100,00; 100,00
1581;ESPELHO ;UN; 6,000; 16,80; 100,80; 25,00; 25,00; 150,00; 150,00
1582;ESPONJA ;UN; 7,000; 2,50; 17,50; 5,00; 5,00; 35,00; 35,00
1584;ESQUEIRO;UN; 13,000; 3,00; 39,00; 6,00; 6,00; 78,00; 78,00
1583;ESTOJO ESCOLAR;UN; 1,000; 8,40; 8,40; 10,00; 10,00; 10,00; 10,00
1708;GEL 35 ERVAS ;UN; 35,000; 6,66; 233,10; 15,00; 10,00; 525,00; 350,00
1706;GEL COM ARNICA & ERVA STA MARIA;UN; 35,000; 6,66; 233,10; 15,00; 10,00; 525,00; 350,00
1677;GRENDHA 00045;UN; 6,000; 18,87; 113,22; 45,00; 26,00; 270,00; 156,00
1544;HAVAIANA BRASIL ;UN; 19,000; 35,00; 665,00; 45,00; 35,00; 855,00; 665,00
1592;HAVAIANA COLOR ;UN; 145,000; 14,60; 2.117,00; 20,00; 20,00; 2.900,00; 2.900,00
1561;JOGO DE XICARA 75;UN; 0,000; 45,00; 0,00; 75,00; 75,00; 0,00; 0,00
1530;KENNER 000110;UN; 73,000; 54,00; 3.942,00; 110,00; 80,00; 8.030,00; 5.840,00
1529;KENNER 000115;UN; 56,000; 60,00; 3.360,00; 115,00; 90,00; 6.440,00; 5.040,00
1532;KENNER 000125;UN; 49,000; 58,00; 2.842,00; 125,00; 95,00; 6.125,00; 4.655,00
